Plant;87;,,,,,
Cutting order;0;,,,,,
Cutting position;0;,,,,,
Date from;29.05.2016;,,,,,
,,,,,
Date to;30.05.2016;,,,,,
,,,,,
Single resource;%;,,,,,
Resource group;%;,,,,,
Partnumber;%;,,,,,
Kanban number;0;,,,,,
Wire number;%;,,,,,
Staff number;%;,,,,,
,,,,,
,,,,,
Date;Time;Cutting order;Cutting position;Single resource;Resource group;Staff number;Wire number;Partnumber;Kanban number;Cut quantity;Time ta;Cost center;Partno. wire;Wire length;Print 1;St.ins.lng 1;Contact 1;Seal 1;Print 2;St.ins.len. 2;Contact 2;Seal 2;,,,,,
29.05.2016;00:00;63103;9;08703-13;08703;func2928/08703-13;13364;91C529002;426940;1800,000000;50,400000;08710;76783111G000;0,870000;;0,000000;414313900;;;0,000000;414313900;;
29.05.2016;00:00;63103;138;08703-02;08703;leader/08703-02;161048;91C704501;465185;20,000000;0,840000;08710;76753010W331;7,230000;;0,000000;P00110204;498201300;;0,000000;413001069;;
29.05.2016;00:00;63103;139;08703-02;08703;leader/08703-02;161145;91C713101;465203;20,000000;0,840000;08710;76753010W331;7,073000;;0,000000;P00110204;498201300;;0,000000;413001069;;
29.05.2016;00:00;63105;195;08703-30;08708;func2715/08703-30;VDB26ED;276A04002;447201;100,000000;3,500000;08710;P00122576;3,375000;;0,000000;P00131826;;;15,000000;;;
29.05.2016;00:00;63120;82;08703-20;08708;func2717/08703-20;A1134;94C445001;373475;400,000000;23,600000;08710;76753010W554;4,300000;;0,000000;414994300;492136409;;0,000000;414268673;;
29.05.2016;00:00;63120;119;08703-23;08703;func2888/08703-23;380O;94C462101;399409;200,000000;13,600000;08710;76753021W666;0,595000;;0,000000;411502165;;;0,000000;414293226;492265365;
29.05.2016;00:00;63120;120;08703-23;08703;func2888/08703-23;2700AF;94C462101;399406;200,000000;13,600000;08710;76753021W883;0,600000;;0,000000;411502165;;;0,000000;414293226;492265365;
29.05.2016;00:00;63120;179;08703-22;08703;func2717/08703-22;663;94C444901;376460;400,000000;14,400000;08710;76753010W996;1,565000;;0,000000;411500310;;;0,000000;P00108784;;
29.05.2016;00:00;63121;194;08708-27;08702;CC/08708-27;1054-C;91G428902;442180;4200,000000;210,000000;08710;76753070W005;0,430000;;0,000000;414265646;491104503;;13,000000;;;
29.05.2016;00:00;63123;2;08703-17;08703;func2928/08703-17;17112;91C539801;423431;1800,000000;45,000000;08710;76753104W111;0,490000;;0,000000;414314100;;;15,000000;;;
29.05.2016;00:15;63061;209;08788-08;08788;LEADER/08788-08;002;93C220000;308432;65,000000;2,470000;08710;76720130K999;0,995000;;0,000000;411517081;;;3,500000;;;
29.05.2016;00:15;63064;18;08703-15;08703;leader/08703-15;1;92C91262A;391698;5000,000000;145,000000;08710;726170040888;0,540000;;0,000000;414245031;;;6,000000;;;
