 No.	Product	PartNr	Kanban	PartType(KB Type)	Position	ActualQuantity	BundleQuantity	BatchQuantity	KanBanPosition	RouteNr	ChangeQty
1	91C539701	91C53970190	422831	WhiteCard	Remark1	600	100	100	Remark1	90	Y
2	91C604901	91C6049011005	311131/311132	BlueCard	Remark1	300	100	100	Remark1	1005	Y
3	91C540901	91C540901100	422835	WhiteCard	Remark1	1100	100	100	Remark1	100	Y
4	91C535501	91C535501380	423691	WhiteCard	Remark1	2100	100	100	Remark1	380	Y
5	91C511601	91C511601111	460038	WhiteCard	Remark1	300	100	100	Remark1	111	Y
6	91C535501	91C53550160	426706	WhiteCard	Remark1	700	100	100	Remark1	60	Y
7	91C540401	91C540401132	427212/427213	BlueCard	Remark1	100	100	100	Remark1	132	N
8	91C535501	91C53550140	423322	WhiteCard	Remark1	700	100	100	Remark1	40	Y
9	91C535001	91C535001745	423906	WhiteCard	Remark1	500	100	100	Remark1	745	Y
10	91C535001	91C535001755	426598	WhiteCard	Remark1	700	100	100	Remark1	755	Y
11	91C535001	91C535001275	426626	WhiteCard	Remark1	400	100	100	Remark1	275	Y
12	91C539801	91C53980170	427050	WhiteCard	Remark1	300	100	100	Remark1	70	Y
13	91C534101	91C5341015	399223	WhiteCard	Remark1	200	100	100	Remark1	5	Y
14	91C530102	91C53010270	427012	WhiteCard	Remark1	200	100	100	Remark1	70	Y
15	91C531402	91C53140235	420850	WhiteCard	Remark1	100	100	100	Remark1	35	N
16	91C540301	91C540301265	422851	WhiteCard	Remark1	700	100	100	Remark1	265	Y
17	91C540301	91C540301275	427182	WhiteCard	Remark1	500	100	100	Remark1	275	Y
18	91C535001	91C535001165	423727	WhiteCard	Remark1	200	100	100	Remark1	165	Y
19	91C540301	91C540301225	419318	WhiteCard	Remark1	500	100	100	Remark1	225	Y
20	91C539701	91C539701110	422521	WhiteCard	Remark1	500	100	100	Remark1	110	Y
21	91C534201	91C53420115	399227	WhiteCard	Remark1	300	100	100	Remark1	15	Y
22	91C535001	91C535001405	424675	WhiteCard	Remark1	300	100	100	Remark1	405	Y
23	91C539801	91C539801380	423437/423438	BlueCard	Remark1	200	100	100	Remark1	380	Y
24	91C604301	91C604301190	269076	WhiteCard	Remark1	300	100	100	Remark1	190	Y
25	91C540301	91C540301115	426133	WhiteCard	Remark1	400	100	100	Remark1	115	Y
26	91C539801	91C53980175	423653	WhiteCard	Remark1	400	100	100	Remark1	75	Y
27	91C604401	91C6044011170	269162	WhiteCard	Remark1	300	100	100	Remark1	1170	Y
28	91C531402	91C53140290	420874/420875	BlueCard	Remark1	400	100	100	Remark1	90	Y
29	91C601701	91C601701180	268270	WhiteCard	Remark1	100	100	100	Remark1	180	N
30	91C540901	91C540901116	423888/423889	BlueCard	Remark1	200	100	100	Remark1	116	Y
31	91C539701	91C539701145	422721	WhiteCard	Remark1	800	100	100	Remark1	145	Y
32	91C539101	91C5391015	420480	WhiteCard	Remark1	100	100	100	Remark1	5	N
33	91C535001	91C535001395	426642	WhiteCard	Remark1	200	100	100	Remark1	395	Y
34	91C535701	91C535701161	425663/425664	BlueCard	Remark1	100	100	100	Remark1	161	N
35	91C528402	91C52840216	422814/422815	BlueCard	Remark1	1300	100	100	Remark1	16	Y
36	91C539501	91C539501110	424300	WhiteCard	Remark1	400	100	100	Remark1	110	Y
37	91C534101	91C53410140	399221/399222	BlueCard	Remark1	900	100	100	Remark1	40	Y
38	91C539701	91C539701185	427042	WhiteCard	Remark1	500	100	100	Remark1	185	Y
39	91C539501	91C539501180	426876	WhiteCard	Remark1	700	100	100	Remark1	180	Y
40	91C527702	91C52770210	426842	WhiteCard	Remark1	200	100	100	Remark1	10	Y
41	91C540301	91C540301185	427176	WhiteCard	Remark1	900	100	100	Remark1	185	Y
42	91C539501	91C539501165	423715/423716	BlueCard	Remark1	300	100	100	Remark1	165	Y
43	91C532901	91C53290165	399063/399064	BlueCard	Remark1	400	100	100	Remark1	65	Y
44	91C605001	91C605001110	349238	WhiteCard	Remark1	100	100	100	Remark1	110	N
45	91C536701	91C53670145	423700	WhiteCard	Remark1	1000	100	100	Remark1	45	Y
46	91C535001	91C535001330	424310	WhiteCard	Remark1	200	100	100	Remark1	330	Y
47	91C535001	91C535001300	426632	WhiteCard	Remark1	200	100	100	Remark1	300	Y
48	91C529102	91C529102100	426964	WhiteCard	Remark1	300	100	100	Remark1	100	Y
49	91C539101	91C53910135	426190	WhiteCard	Remark1	100	100	100	Remark1	35	N
50	91C530002	91C53000245	426994	WhiteCard	Remark1	200	100	100	Remark1	45	Y
51	91C535001	91C535001340	424314/424315	BlueCard	Remark1	500	100	100	Remark1	340	Y
52	91C535001	91C535001350	426638	WhiteCard	Remark1	1000	100	100	Remark1	350	Y
53	91C535501	91C535501120	424127	WhiteCard	Remark1	800	100	100	Remark1	120	Y
54	91C535601	91C53560121	425039/425040	BlueCard	Remark1	300	100	100	Remark1	21	Y
55	91C535001	91C535001390	426640	WhiteCard	Remark1	800	100	100	Remark1	390	Y
56	91C526902	91C52690280	426680	WhiteCard	Remark1	400	100	100	Remark1	80	Y
57	91C541001	91C54100115	421766/421767	BlueCard	Remark1	300	100	100	Remark1	15	Y
58	91C534101	91C53410132	399217/399218	BlueCard	Remark1	100	100	100	Remark1	32	N
59	91C535501	91C535501190	426794/426795	BlueCard	Remark1	200	100	100	Remark1	190	Y
60	91C534601	91C53460120	399237/399238	BlueCard	Remark1	100	100	100	Remark1	20	N
61	91C529102	91C529102105	426966	WhiteCard	Remark1	200	100	100	Remark1	105	Y
62	91C602301	91C60230110	268356	WhiteCard	Remark1	100	100	100	Remark1	10	N
63	91C539501	91C53950150	426868	WhiteCard	Remark1	100	100	100	Remark1	50	N
64	91C539801	91C539801217	423866	WhiteCard	Remark1	900	100	100	Remark1	217	Y
65	91C532901	91C53290160	399061	WhiteCard	Remark1	400	100	100	Remark1	60	Y
66	91C540401	91C540401140	427208/427209	BlueCard	Remark1	100	100	100	Remark1	140	N
67	91C604901	91C6049012761	410713/410714	BlueCard	Remark1	300	100	100	Remark1	2761	Y
68	91C535001	91C53500170	426618	WhiteCard	Remark1	500	100	100	Remark1	70	Y
69	91C535501	91C535501135	426722	WhiteCard	Remark1	400	100	100	Remark1	135	Y
70	91C539801	91C539801415	427062/427063	BlueCard	Remark1	200	100	100	Remark1	415	Y
71	91C535001	91C535001605	426644/426645	BlueCard	Remark1	1000	100	100	Remark1	605	Y
72	91C539701	91C539701510	425063	WhiteCard	Remark1	100	100	100	Remark1	510	N
73	91C539301	91C53930130	452058	WhiteCard	Remark1	900	100	100	Remark1	30	Y
74	91C535001	91C535001645	424683	WhiteCard	Remark1	1000	100	100	Remark1	645	Y
75	91C535001	91C535001655	424693/424694	BlueCard	Remark1	1100	100	100	Remark1	655	Y
76	91C541301	91C54130115	475445	WhiteCard	Remark1	4200	100	100	Remark1	15	Y
77	91C535501	91C535501386	423687/423688	BlueCard	Remark1	1200	100	100	Remark1	386	Y
78	91C530002	91C5300025	424143	WhiteCard	Remark1	200	100	100	Remark1	5	Y
79	91C541001	91C541001150	423910	WhiteCard	Remark1	1000	100	100	Remark1	150	Y
80	91C538901	91C538901170	423709	WhiteCard	Remark1	200	100	100	Remark1	170	Y
81	91C531402	91C53140255	420860	WhiteCard	Remark1	500	100	100	Remark1	55	Y
82	91C529502	91C5295025	426153	WhiteCard	Remark1	300	100	100	Remark1	5	Y
83	91C541001	91C54100190	427220	WhiteCard	Remark1	200	100	100	Remark1	90	Y
84	91C604301	91C6043011030	269140/269141	BlueCard	Remark1	300	100	100	Remark1	1030	Y
85	91C535001	91C535001785	426604	WhiteCard	Remark1	400	100	100	Remark1	785	Y
86	91C535701	91C535701255	424133/424134	BlueCard	Remark1	100	100	100	Remark1	255	N
87	91C535001	91C535001825	423966	WhiteCard	Remark1	700	100	100	Remark1	825	Y
88	91C535001	91C535001700	423964	WhiteCard	Remark1	300	100	100	Remark1	700	Y
89	91C526902	91C52690270	426678	WhiteCard	Remark1	300	100	100	Remark1	70	Y
90	91C535701	91C535701215	426833	WhiteCard	Remark1	100	100	100	Remark1	215	N
91	91C536701	91C53670150	422749	WhiteCard	Remark1	100	100	100	Remark1	50	N
92	91C535001	91C535001750	426596	WhiteCard	Remark1	600	100	100	Remark1	750	Y
93	91C540901	91C54090195	427228	WhiteCard	Remark1	400	100	100	Remark1	95	Y
94	91C540401	91C540401355	427202	WhiteCard	Remark1	100	100	100	Remark1	355	N
95	91C531402	91C53140230	420848/420849	BlueCard	Remark1	600	100	100	Remark1	30	Y
96	91C530002	91C53000240	426992	WhiteCard	Remark1	200	100	100	Remark1	40	Y
97	91C531502	91C53150220	420886	WhiteCard	Remark1	100	100	100	Remark1	20	N
98	91C533901	91C53390190	399197	WhiteCard	Remark1	200	100	100	Remark1	90	Y
99	91C540001	91C540001180	424246/424247	BlueCard	Remark1	100	100	100	Remark1	180	N
100	91C533901	91C53390195	399199	WhiteCard	Remark1	100	100	100	Remark1	95	N
101	91C535001	91C535001830	421734/421735	BlueCard	Remark1	900	100	100	Remark1	830	Y
102	91C530002	91C53000248	427002/427003	BlueCard	Remark1	400	100	100	Remark1	48	Y
103	91C535001	91C535001810	421728/421729	BlueCard	Remark1	900	100	100	Remark1	810	Y
104	91C540301	91C540301135	423485	WhiteCard	Remark1	200	100	100	Remark1	135	Y
105	91C535001	91C535001850	423976	WhiteCard	Remark1	100	100	100	Remark1	850	N
106	91C529002	91C52900265	426918	WhiteCard	Remark1	400	100	100	Remark1	65	Y
107	91C535001	91C5350015	422825	WhiteCard	Remark1	600	100	100	Remark1	5	Y
108	91C539801	91C539801370	423473	WhiteCard	Remark1	800	100	100	Remark1	370	Y
109	91C535001	91C53500175	419003	WhiteCard	Remark1	1100	100	100	Remark1	75	Y
110	91C539701	91C539701245	423339	WhiteCard	Remark1	300	100	100	Remark1	245	Y
111	91C528602	91C52860255	423685/423686	BlueCard	Remark1	100	100	100	Remark1	55	N
112	91C535001	91C53500118	427379/427380	BlueCard	Remark1	600	100	100	Remark1	18	Y
113	91C540401	91C540401210	426079	WhiteCard	Remark1	100	100	100	Remark1	210	N
114	91C535001	91C53500145	427767	WhiteCard	Remark1	300	100	100	Remark1	45	Y
115	91C534802	91C53480245	427268	WhiteCard	Remark1	200	100	100	Remark1	45	Y
116	91C540401	91C540401250	426149	WhiteCard	Remark1	100	100	100	Remark1	250	N
117	91C528402	91C5284025	426900	WhiteCard	Remark1	700	100	100	Remark1	5	Y
118	91C539701	91C539701505	425065	WhiteCard	Remark1	100	100	100	Remark1	505	N
119	91C528501	91C52850115	427477/427478	BlueCard	Remark1	300	100	100	Remark1	15	Y
120	91C539501	91C5395015	423717	WhiteCard	Remark1	100	100	100	Remark1	5	N
121	91C529102	91C52910280	426974/426975	BlueCard	Remark1	500	100	100	Remark1	80	Y
122	91C540801	91C54080110	443609	WhiteCard	Remark1	100	100	100	Remark1	10	N
123	91C535001	91C535001935	427310/427311	BlueCard	Remark1	1500	100	100	Remark1	935	Y
124	91C535001	91C53500152	427377	WhiteCard	Remark1	400	100	100	Remark1	52	Y
125	91C535001	91C535001975	424396/424397	BlueCard	Remark1	100	100	100	Remark1	975	N
126	91C540301	91C540301370	427186	WhiteCard	Remark1	600	100	100	Remark1	370	Y
127	91C535001	91C535001565	424689/424690	BlueCard	Remark1	2100	100	100	Remark1	565	Y
128	91C605001	91C605001115	349757/349758	BlueCard	Remark1	300	100	100	Remark1	115	Y
129	91C540401	91C540401255	426151	WhiteCard	Remark1	100	100	100	Remark1	255	N
130	91C540301	91C540301300	424004	WhiteCard	Remark1	900	100	100	Remark1	300	Y
131	91C530002	91C53000250	426996	WhiteCard	Remark1	1000	100	100	Remark1	50	Y
132	91C535001	91C535001595	422827	WhiteCard	Remark1	1100	100	100	Remark1	595	Y
133	91C526401	91C52640156	397553/397554	BlueCard	Remark1	300	100	100	Remark1	56	Y
134	91C531402	91C5314025	420838	WhiteCard	Remark1	300	100	100	Remark1	5	Y
135	91C535501	91C5355015	424280	WhiteCard	Remark1	300	100	100	Remark1	5	Y
136	91C529102	91C52910235	426950	WhiteCard	Remark1	200	100	100	Remark1	35	Y
137	91C535001	91C535001178	423958/423959	BlueCard	Remark1	2100	100	100	Remark1	178	Y
138	91C540701	91C5407015	475443	WhiteCard	Remark1	900	100	100	Remark1	5	Y
139	91C535501	91C535501345	424288/424289	BlueCard	Remark1	700	100	100	Remark1	345	Y
140	91C528402	91C52840270	427479/427480	BlueCard	Remark1	200	100	100	Remark1	70	Y
